ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-09-14,0.9287,0.9323,0.88,0.8885,216176.50000000,1757894399999,195287.24280000,760,89280.50000000,80537.92531000,0
2025-09-15,0.8889,0.9018,0.8538,0.864,161047.20000000,1757980799999,139609.19622000,738,59778.90000000,51873.76982000,0
2025-09-16,0.8628,0.883,0.8536,0.8801,114126.70000000,1758067199999,99266.52003000,400,33862.70000000,29524.44085000,0
2025-09-17,0.8786,0.9183,0.8625,0.9116,418600.10000000,1758153599999,370661.57400000,1319,185817.20000000,165474.03457000,0
2025-09-18,0.9136,0.9386,0.8995,0.9239,453070.10000000,1758239999999,417741.17978000,1296,249481.70000000,230008.35800000,0
2025-09-19,0.926,0.937,0.8862,0.8886,257104.90000000,1758326399999,232678.39128000,834,84674.10000000,77002.84804000,0
2025-09-20,0.8893,0.9048,0.8874,0.8937,63191.50000000,1758412799999,56595.29473000,344,34915.40000000,31313.43102000,0
2025-09-21,0.8933,0.9009,0.8761,0.8864,88633.70000000,1758499199999,79085.63024000,344,66195.50000000,59199.58926000,0
2025-09-22,0.8878,0.8878,0.7922,0.825,331976.40000000,1758585599999,275634.60529000,1185,76643.00000000,63982.50187000,0
2025-09-23,0.824,0.8294,0.805,0.8062,178386.60000000,1758671999999,146275.94050000,592,62921.30000000,51690.53477000,0
2025-09-24,0.8075,0.8289,0.7914,0.8108,141943.70000000,1758758399999,115477.30601000,593,33007.40000000,26923.34567000,0
2025-09-25,0.8122,0.8146,0.7355,0.763,765562.10000000,1758844799999,592871.46054000,1716,209087.60000000,161450.29194000,0
2025-09-26,0.7639,0.795,0.7582,0.7905,250339.30000000,1758931199999,194337.43537000,550,153349.70000000,119432.11587000,0
2025-09-27,0.7919,0.7938,0.777,0.78,34597.20000000,1759017599999,27096.81762000,266,14713.60000000,11561.59016000,0
2025-09-28,0.7799,0.8105,0.765,0.8084,175045.00000000,1759103999999,137342.07524000,620,86170.30000000,68124.62331000,0
2025-09-29,0.8069,0.8145,0.7892,0.8063,65820.90000000,1759190399999,52772.39907000,374,38766.60000000,31150.30226000,0
2025-09-30,0.8055,0.8116,0.779,0.8063,113924.00000000,1759276799999,90637.52425000,454,57786.50000000,46324.13349000,0
2025-10-01,0.8069,0.8498,0.7968,0.8498,137486.80000000,1759363199999,113635.41319000,689,79601.00000000,65907.11371000,0
2025-10-02,0.8496,0.8771,0.8368,0.8702,337733.50000000,1759449599999,291297.50256000,1420,138052.50000000,118688.90576000,0
2025-10-03,0.8665,0.8907,0.8496,0.8652,239608.90000000,1759535999999,207504.10483000,1319,103062.30000000,89619.06808000,0
2025-10-04,0.8644,0.8685,0.8339,0.8393,109994.50000000,1759622399999,93292.33616000,587,52709.10000000,44634.57493000,0
2025-10-05,0.839,0.8816,0.8275,0.8374,213182.50000000,1759708799999,181531.25878000,1357,77227.00000000,65501.44165000,0
