ts,open,high,low,close,volume,volume_ccy,quote_asset_volume,confirm,close_time,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-09-23 00:00:00+00:00,0.2136,0.2176,0.2089,0.2107,2536660,25366600,5435827.846,1,1758671999999,,,,
2025-09-24 00:00:00+00:00,0.2107,0.2184,0.2071,0.2126,2436069,24360690,5219757.33,1,1758758399999,,,,
2025-09-25 00:00:00+00:00,0.2127,0.2133,0.1996,0.2027,5111444,51114440,10544765.628,1,1758844799999,,,,
2025-09-26 00:00:00+00:00,0.2027,0.2107,0.1999,0.2083,3180567,31805670,6521121.883,1,1758931199999,,,,
2025-09-27 00:00:00+00:00,0.2084,0.2084,0.204,0.2055,1041425,10414250,2149277.06,1,1759017599999,,,,
2025-09-28 00:00:00+00:00,0.2056,0.2087,0.1997,0.2079,1161681,11616810,2369231.324,1,1759103999999,,,,
2025-09-29 00:00:00+00:00,0.2079,0.2104,0.2031,0.2074,2114567,21145670,4369384.313,1,1759190399999,,,,
2025-09-30 00:00:00+00:00,0.2075,0.2102,0.2008,0.2079,2147405,21474050,4414329.835,1,1759276799999,,,,
2025-10-01 00:00:00+00:00,0.2079,0.2216,0.2053,0.2209,3266470,32664700,7040963.124,1,1759363199999,,,,
2025-10-02 00:00:00+00:00,0.2209,0.2273,0.2183,0.2249,2189815,21898150,4888222.871,1,1759449599999,,,,
2025-10-03 00:00:00+00:00,0.2249,0.2307,0.2199,0.2246,2790438,27904380,6264977.819,1,1759535999999,,,,
2025-10-04 00:00:00+00:00,0.2247,0.2253,0.2157,0.2196,1551977,15519770,3404868.359,1,1759622399999,,,,
2025-10-05 00:00:00+00:00,0.2195,0.2304,0.2173,0.2184,2631189,26311890,5887367.569,1,1759708799999,,,,
2025-10-06 00:00:00+00:00,0.2185,0.2309,0.2161,0.2291,2989361,29893610,6730974.785,1,1759795199999,,,,
2025-10-07 00:00:00+00:00,0.2291,0.2307,0.2177,0.2187,3119825,31198250,6984827.493,1,1759881599999,,,,
2025-10-08 00:00:00+00:00,0.2186,0.2275,0.2152,0.224,2773709,27737090,6122153.151,1,1759967999999,,,,
