ts,open,high,low,close,volume,volume_ccy,quote_asset_volume,confirm,close_time,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-09-18 00:00:00+00:00,4.575,4.744,4.554,4.687,5953368,5953368,27682011.269,1,1758239999999,,,,
2025-09-19 00:00:00+00:00,4.687,4.78,4.515,4.547,7290669,7290669,33849331.352,1,1758326399999,,,,
2025-09-20 00:00:00+00:00,4.546,4.728,4.534,4.616,12180056,12180056,56473117.214,1,1758412799999,,,,
2025-09-21 00:00:00+00:00,4.616,4.699,4.567,4.609,6637217,6637217,30682079.907,1,1758499199999,,,,
2025-09-22 00:00:00+00:00,4.609,4.635,4.111,4.301,16540069,16540069,71840481.814,1,1758585599999,,,,
2025-09-23 00:00:00+00:00,4.3,4.367,4.202,4.292,6729240,6729240,28971737.267,1,1758671999999,,,,
2025-09-24 00:00:00+00:00,4.293,4.346,4.195,4.233,5249301,5249301,22491550.894,1,1758758399999,,,,
2025-09-25 00:00:00+00:00,4.232,4.237,3.892,3.929,10922692,10922692,44456344.363,1,1758844799999,,,,
2025-09-26 00:00:00+00:00,3.93,4.117,3.892,4.102,6882155,6882155,27425251.793,1,1758931199999,,,,
2025-09-27 00:00:00+00:00,4.104,4.265,4.052,4.217,5019824,5019824,20750473.312,1,1759017599999,,,,
2025-09-28 00:00:00+00:00,4.217,4.252,4.055,4.225,5032294,5032294,20798734.12,1,1759103999999,,,,
2025-09-29 00:00:00+00:00,4.225,4.329,4.187,4.277,5133024,5133024,21857390.521,1,1759190399999,,,,
2025-09-30 00:00:00+00:00,4.278,4.403,4.192,4.398,6380229,6380229,27264933.443,1,1759276799999,,,,
2025-10-01 00:00:00+00:00,4.398,4.876,4.371,4.876,11024071,11024071,50497454.17,1,1759363199999,,,,
2025-10-02 00:00:00+00:00,4.875,5.23,4.813,5.223,14657886,14657886,73589432.223,1,1759449599999,,,,
2025-10-03 00:00:00+00:00,5.224,5.452,5.065,5.367,14991160,14991160,78913022.541,1,1759535999999,,,,
2025-10-04 00:00:00+00:00,5.368,5.553,5.105,5.194,15269170,15269170,80925777.73,1,1759622399999,,,,
2025-10-05 00:00:00+00:00,5.193,5.651,5.193,5.456,18002488,18002488,97792355.535,1,1759708799999,,,,
2025-10-06 00:00:00+00:00,5.455,5.496,5.252,5.275,12132980,12132980,65141496.872,1,1759795199999,,,,
2025-10-07 00:00:00+00:00,5.275,5.474,5.186,5.31,15121550,15121550,80370915.499,1,1759881599999,,,,
2025-10-08 00:00:00+00:00,5.311,5.372,5.132,5.168,10770640,10770640,56530369.012,1,1759967999999,,,,
2025-10-09 00:00:00+00:00,5.168,5.168,4.797,5.001,12862919,12862919,63998803.112,1,1760054399999,,,,
2025-10-10 00:00:00+00:00,5.002,5.115,1.756,3.655,34730555,34730555,143915826.398,1,1760140799999,,,,
2025-10-11 00:00:00+00:00,3.653,4.116,3.499,3.636,22121875,22121875,83930927.742,1,1760227199999,,,,
2025-10-12 00:00:00+00:00,3.636,4.022,3.498,3.899,21108609,21108609,79061080.773,1,1760313599999,,,,
2025-10-13 00:00:00+00:00,3.9,3.964,3.636,3.922,16110666,16110666,61435234.855,1,1760399999999,,,,
2025-10-14 00:00:00+00:00,3.923,3.943,3.523,3.681,15416995,15416995,56425454.865,1,1760486399999,,,,
2025-10-15 00:00:00+00:00,3.68,3.756,3.412,3.517,15518215,15518215,55493209.438,1,1760572799999,,,,
2025-10-16 00:00:00+00:00,3.518,3.578,3.238,3.292,14796595,14796595,50532565.173,1,1760659199999,,,,
2025-10-17 00:00:00+00:00,3.293,3.338,2.952,3.185,16419834,16419834,51244693.914,1,1760745599999,,,,
2025-10-18 00:00:00+00:00,3.186,3.229,3.11,3.201,6045705,6045705,19136013.826,1,1760831999999,,,,
2025-10-19 00:00:00+00:00,3.202,3.258,3.119,3.191,9067435,9067435,28984207.446,1,1760918399999,,,,
2025-10-20 00:00:00+00:00,3.191,3.356,3.123,3.255,8154310,8154310,26535952.409,1,1761004799999,,,,
2025-10-21 00:00:00+00:00,3.256,3.379,3.108,3.216,10858689,10858689,35072029.906,1,1761091199999,,,,
2025-10-22 00:00:00+00:00,3.215,3.38,3.082,3.184,18344597,18344597,59829112.38,1,1761177599999,,,,
2025-10-23 00:00:00+00:00,3.185,3.319,3.156,3.239,8193970,8193970,26445896.421,1,1761263999999,,,,
2025-10-24 00:00:00+00:00,3.239,3.316,3.159,3.299,10536400,10536400,34109406.99,1,1761350399999,,,,
2025-10-25 00:00:00+00:00,3.3,3.326,3.242,3.309,4449322,4449322,14629583.01,1,1761436799999,,,,
2025-10-26 00:00:00+00:00,3.31,3.621,3.275,3.582,8286674,8286674,28733140.984,1,1761523199999,,,,
2025-10-27 00:00:00+00:00,3.582,3.641,3.413,3.454,9384349,9384349,32983663.992,1,1761609599999,,,,
2025-10-28 00:00:00+00:00,3.453,3.508,3.294,3.352,7955047,7955047,27213155.26,1,1761695999999,,,,
2025-10-29 00:00:00+00:00,3.353,3.506,3.295,3.399,7137153,7137153,24224827.005,1,1761782399999,,,,
2025-10-30 00:00:00+00:00,3.4,3.464,3.062,3.199,12091130,12091130,39484993.426,1,1761868799999,,,,
2025-10-31 00:00:00+00:00,3.199,3.306,3.181,3.256,5752666,5752666,18677896.531,1,1761955199999,,,,
2025-11-01 00:00:00+00:00,3.257,3.336,3.228,3.327,3762718,3762718,12378641.586,1,1762041599999,,,,
2025-11-02 00:00:00+00:00,3.328,3.423,3.242,3.371,4806845,4806845,16036860.317,1,1762127999999,,,,
