ts,open,high,low,close,volume,volume_ccy,quote_asset_volume,confirm,close_time,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-09-24 00:00:00+00:00,1.9581,2.44,1.9018,2.3085,404576557,404576557,906649674.575,1,1758758399999,,,,
2025-09-25 00:00:00+00:00,2.3088,2.3872,1.7926,1.8787,438338495,438338495,892367964.0952,1,1758844799999,,,,
2025-09-26 00:00:00+00:00,1.8787,2.1659,1.7247,2.0271,313709704,313709704,601022015.5879,1,1758931199999,,,,
2025-09-27 00:00:00+00:00,2.027,2.144,1.8889,1.9218,219707784,219707784,440689376.4934,1,1759017599999,,,,
2025-09-28 00:00:00+00:00,1.9217,1.9427,1.702,1.8558,235492235,235492235,428901817.3993,1,1759103999999,,,,
2025-09-29 00:00:00+00:00,1.8556,1.998,1.7764,1.8984,231183096,231183096,436997445.5742,1,1759190399999,,,,
2025-09-30 00:00:00+00:00,1.8985,1.9767,1.5067,1.6199,258156169,258156169,442034220.3774,1,1759276799999,,,,
2025-10-01 00:00:00+00:00,1.6202,1.7389,1.51,1.6389,238500234,238500234,390291580.6374,1,1759363199999,,,,
2025-10-02 00:00:00+00:00,1.6389,1.8727,1.6157,1.7967,214271836,214271836,376507467.4922,1,1759449599999,,,,
2025-10-03 00:00:00+00:00,1.7966,2.1516,1.7741,2.0794,252084278,252084278,488248508.4008,1,1759535999999,,,,
2025-10-04 00:00:00+00:00,2.0799,2.2792,1.97,2.0624,211460491,211460491,443276514.8887,1,1759622399999,,,,
2025-10-05 00:00:00+00:00,2.0625,2.108,1.7499,1.8713,260834477,260834477,498001007.8269,1,1759708799999,,,,
2025-10-06 00:00:00+00:00,1.8714,2.2178,1.8301,2.0632,315228501,315228501,642674639.1846,1,1759795199999,,,,
2025-10-07 00:00:00+00:00,2.0638,2.1913,1.9471,2.0458,200615078,200615078,411766208.0572,1,1759881599999,,,,
2025-10-08 00:00:00+00:00,2.0463,2.1121,1.9012,1.9301,164552621,164552621,327999059.6155,1,1759967999999,,,,
2025-10-09 00:00:00+00:00,1.9298,1.9302,1.5557,1.6823,237719176,237719176,416109048.9664,1,1760054399999,,,,
2025-10-10 00:00:00+00:00,1.6824,1.8464,0.9474,1.3238,495897606,495897606,777811363.0115,1,1760140799999,,,,
2025-10-11 00:00:00+00:00,1.3236,1.4139,1.1563,1.2011,222005757,222005757,289758495.7766,1,1760227199999,,,,
2025-10-12 00:00:00+00:00,1.2011,1.5349,1.1605,1.4848,278842393,278842393,387076047.7877,1,1760313599999,,,,
2025-10-13 00:00:00+00:00,1.4845,1.5938,1.3501,1.4515,268371735,268371735,393294375.7088,1,1760399999999,,,,
2025-10-14 00:00:00+00:00,1.4515,1.5288,1.302,1.5033,267304956,267304956,375649090.0157,1,1760486399999,,,,
2025-10-15 00:00:00+00:00,1.5031,1.5388,1.2631,1.2834,213471107,213471107,305068042.8012,1,1760572799999,,,,
2025-10-16 00:00:00+00:00,1.2834,1.3646,1.1978,1.257,310798978,310798978,400834076.4546,1,1760659199999,,,,
2025-10-17 00:00:00+00:00,1.257,1.2886,1.0193,1.1575,414988198,414988198,467281430.7308,1,1760745599999,,,,
