ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-09-14,0.0431,0.0431,0.0431,0.0431,459.00000000,1757894399999,19.78290000,1,0.00000000,0.00000000,0
2025-09-15,0.04039,0.04039,0.04013,0.04013,5161.00000000,1757980799999,208.39637000,3,4944.00000000,199.68816000,0
2025-09-16,0.0407,0.0407,0.04006,0.04032,1813.00000000,1758067199999,72.87726000,6,106.00000000,4.31420000,0
2025-09-17,0.04262,0.04304,0.04262,0.04304,6570.00000000,1758153599999,282.66696000,2,6570.00000000,282.66696000,0
2025-09-18,0.04287,0.0441,0.04212,0.04275,49735.00000000,1758239999999,2120.92339000,15,2262.00000000,97.98365000,0
2025-09-19,0.04297,0.04407,0.04005,0.04152,4392.00000000,1758326399999,185.89058000,10,3142.00000000,133.90930000,0
2025-09-20,0.04127,0.04278,0.04127,0.04278,3335.00000000,1758412799999,142.56560000,2,3265.00000000,139.67670000,0
2025-09-21,0.04258,0.04288,0.04188,0.04212,8624.00000000,1758499199999,364.60098000,7,8556.00000000,361.73682000,0
2025-09-22,0.04102,0.04102,0.03355,0.03355,44575.00000000,1758585599999,1727.74350000,10,19665.00000000,770.86800000,0
2025-09-23,0.03361,0.04071,0.03361,0.03919,17578.00000000,1758671999999,693.03253000,14,1425.00000000,57.12790000,0
2025-09-24,0.04043,0.04071,0.03902,0.03984,10332.00000000,1758758399999,412.31165000,18,6622.00000000,266.97009000,0
2025-09-25,0.03905,0.03972,0.03667,0.03972,3854.00000000,1758844799999,149.62945000,6,1256.00000000,49.88832000,0
2025-09-26,0.03972,0.03972,0.03972,0.03972,0.00000000,1758931199999,0.00000000,0,0.00000000,0.00000000,0
2025-09-27,0.03972,0.03972,0.03972,0.03972,0.00000000,1759017599999,0.00000000,0,0.00000000,0.00000000,0
2025-09-28,0.03969,0.0401,0.03725,0.03753,4034.00000000,1759103999999,156.98678000,5,2614.00000000,103.79230000,0
2025-09-29,0.04041,0.04041,0.03657,0.03801,5615.00000000,1759190399999,225.37084000,5,5177.00000000,209.20257000,0
2025-09-30,0.03837,0.04047,0.03651,0.04016,24534.00000000,1759276799999,952.05228000,12,8549.00000000,339.09391000,0
2025-10-01,0.03612,0.04532,0.03612,0.04489,12884.00000000,1759363199999,563.14729000,25,5017.00000000,220.22688000,0
2025-10-02,0.04444,0.047,0.04443,0.04565,12680.00000000,1759449599999,576.69626000,34,4571.00000000,209.73326000,0
2025-10-03,0.04581,0.04592,0.04442,0.04524,14068.00000000,1759535999999,641.32400000,17,12576.00000000,574.31645000,0
2025-10-04,0.04524,0.04643,0.04285,0.04285,12298.00000000,1759622399999,539.92281000,10,1280.00000000,59.40654000,0
