ts,open,high,low,close,volume,volume_ccy,quote_asset_volume,confirm,close_time,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-09-19 00:00:00+00:00,0.6978,0.7089,0.6537,0.6725,4684216,46842160,31594928.336,1,1758326399999,,,,
2025-09-20 00:00:00+00:00,0.6726,0.682,0.6571,0.6651,1951105,19511050,13036272.893,1,1758412799999,,,,
2025-09-21 00:00:00+00:00,0.6651,0.6791,0.6344,0.6409,3130553,31305530,20588008.01,1,1758499199999,,,,
2025-09-22 00:00:00+00:00,0.641,0.6447,0.5621,0.5997,7885057,78850570,47425946.538,1,1758585599999,,,,
2025-09-23 00:00:00+00:00,0.5996,0.6195,0.5797,0.6021,4416543,44165430,26632170.174,1,1758671999999,,,,
2025-09-24 00:00:00+00:00,0.6022,0.6166,0.5866,0.5936,4425891,44258910,26614158.282,1,1758758399999,,,,
2025-09-25 00:00:00+00:00,0.5937,0.6054,0.5492,0.5667,8198115,81981150,47379635.729,1,1758844799999,,,,
2025-09-26 00:00:00+00:00,0.5668,0.5973,0.562,0.5971,4218137,42181370,24419472.975,1,1758931199999,,,,
2025-09-27 00:00:00+00:00,0.5972,0.5982,0.571,0.5776,1885998,18859980,10974522.831,1,1759017599999,,,,
2025-09-28 00:00:00+00:00,0.5777,0.6033,0.5583,0.5996,2600029,26000290,15096274.231,1,1759103999999,,,,
2025-09-29 00:00:00+00:00,0.5996,0.5999,0.5553,0.5644,3794602,37946020,21703055.904,1,1759190399999,,,,
2025-09-30 00:00:00+00:00,0.5643,0.5684,0.534,0.5586,5269951,52699510,28888040.725,1,1759276799999,,,,
2025-10-01 00:00:00+00:00,0.5585,0.5982,0.5558,0.5807,4263548,42635480,24716904.961,1,1759363199999,,,,
2025-10-02 00:00:00+00:00,0.5806,0.6542,0.5767,0.6311,6869332,68693320,42578644.608,1,1759449599999,,,,
2025-10-03 00:00:00+00:00,0.6312,0.6344,0.6023,0.6161,4917198,49171980,30288720.714,1,1759535999999,,,,
2025-10-04 00:00:00+00:00,0.6162,0.6192,0.5804,0.5887,2807605,28076050,16751588.269,1,1759622399999,,,,
