ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-09-14,0.0991,0.0991,0.096,0.0963,8713.00000000,1757894399999,848.83460000,15,2064.00000000,202.86640000,0
2025-09-15,0.0971,0.0971,0.0896,0.0923,50924.00000000,1757980799999,4649.31080000,67,2006.00000000,185.24830000,0
2025-09-16,0.0924,0.0953,0.0924,0.0953,6422.00000000,1758067199999,598.89380000,12,3514.00000000,329.81870000,0
2025-09-17,0.0923,0.0967,0.0916,0.0967,80154.00000000,1758153599999,7461.46460000,42,65587.00000000,6107.48930000,0
2025-09-18,0.0967,0.0998,0.0898,0.0981,128686.00000000,1758239999999,12496.27530000,111,102514.00000000,9958.31990000,0
2025-09-19,0.0992,0.0995,0.0919,0.0919,13602.00000000,1758326399999,1292.33730000,21,2824.00000000,280.69310000,0
2025-09-20,0.0927,0.0952,0.0927,0.0952,3263.00000000,1758412799999,303.53750000,8,1231.00000000,115.17110000,0
2025-09-21,0.0942,0.0942,0.0918,0.0918,11357.00000000,1758499199999,1050.73560000,18,4708.00000000,435.92670000,0
2025-09-22,0.0909,0.0909,0.081,0.0844,32544.00000000,1758585599999,2739.96850000,52,2745.00000000,233.81690000,0
2025-09-23,0.0856,0.0856,0.0838,0.085,28780.00000000,1758671999999,2428.34150000,15,11880.00000000,997.35910000,0
2025-09-24,0.0844,0.0844,0.0821,0.0836,2400.00000000,1758758399999,201.60140000,11,1821.00000000,153.50700000,0
2025-09-25,0.0835,0.0835,0.0781,0.0802,110246.00000000,1758844799999,8862.42490000,48,5357.00000000,433.69250000,0
2025-09-26,0.0804,0.0817,0.0781,0.0817,47659.00000000,1758931199999,3855.48610000,30,31933.00000000,2598.24240000,0
2025-09-27,0.0811,0.0811,0.0811,0.0811,573.00000000,1759017599999,46.47030000,4,334.00000000,27.08740000,0
2025-09-28,0.0809,0.081,0.079,0.0801,3502.00000000,1759103999999,281.48950000,11,1964.00000000,158.94090000,0
2025-09-29,0.0822,0.087,0.0791,0.0824,1184.00000000,1759190399999,95.27180000,8,302.00000000,24.97840000,0
2025-09-30,0.0817,0.0817,0.0784,0.0805,3404.00000000,1759276799999,267.50620000,9,105.00000000,8.44740000,0
2025-10-01,0.081,0.0852,0.0798,0.0833,14338.00000000,1759363199999,1208.07290000,21,12997.00000000,1098.85760000,0
2025-10-02,0.0853,0.0887,0.0838,0.0887,25309.00000000,1759449599999,2221.58730000,26,13544.00000000,1187.08090000,0
2025-10-03,0.0887,0.0889,0.0856,0.0856,2092.00000000,1759535999999,182.07900000,7,1507.00000000,131.79140000,0
2025-10-04,0.0851,0.0851,0.0826,0.0829,6142.00000000,1759622399999,510.93130000,11,960.00000000,80.66310000,0
2025-10-05,0.0877,0.0877,0.0825,0.0825,3681.00000000,1759708799999,305.22450000,8,15.00000000,1.31550000,0
2025-10-06,0.0837,0.088,0.0824,0.0849,19539.00000000,1759795199999,1685.64100000,42,6999.00000000,606.23920000,0
2025-10-07,0.0869,0.087,0.0818,0.0818,8278.00000000,1759881599999,712.83360000,9,3160.00000000,274.72400000,0
2025-10-08,0.0817,0.0838,0.0807,0.0824,41887.00000000,1759967999999,3471.94660000,30,15023.00000000,1244.84480000,0
2025-10-09,0.0813,0.0813,0.0797,0.0797,7648.00000000,1760054399999,615.46110000,16,1609.00000000,130.79790000,0
2025-10-10,0.0813,0.0822,0.0404,0.0632,149727.00000000,1760140799999,9982.01650000,200,32554.00000000,2131.72640000,0
2025-10-11,0.063,0.0693,0.0623,0.0654,19482.00000000,1760227199999,1246.30640000,57,15043.00000000,967.96890000,0
2025-10-12,0.0621,0.082,0.0577,0.0683,91020.00000000,1760313599999,6060.06350000,122,25680.00000000,1779.69610000,0
2025-10-13,0.0691,0.0745,0.0679,0.0738,34430.00000000,1760399999999,2437.13560000,51,24160.00000000,1704.20760000,0
2025-10-14,0.0727,0.0727,0.0657,0.0713,25110.00000000,1760486399999,1749.02460000,63,9734.00000000,684.15340000,0
2025-10-15,0.0705,0.0705,0.0657,0.0657,21625.00000000,1760572799999,1457.14630000,22,2217.00000000,154.85550000,0
2025-10-16,0.0667,0.0687,0.0634,0.064,36490.00000000,1760659199999,2415.51370000,36,21035.00000000,1403.09980000,0
2025-10-17,0.064,0.0643,0.0593,0.0629,30615.00000000,1760745599999,1890.35250000,22,18971.00000000,1165.89960000,0
2025-10-18,0.0622,0.0638,0.061,0.0632,8719.00000000,1760831999999,543.75030000,13,4202.00000000,264.49660000,0
2025-10-19,0.0613,0.065,0.0613,0.065,9272.00000000,1760918399999,585.13860000,15,6796.00000000,432.30770000,0
2025-10-20,0.0641,0.0676,0.0641,0.0651,9702.00000000,1761004799999,638.66320000,17,4637.00000000,304.81480000,0
2025-10-21,0.0644,0.0685,0.0626,0.064,19205.00000000,1761091199999,1237.95620000,22,2118.00000000,139.20580000,0
2025-10-22,0.063,0.063,0.0604,0.0604,8179.00000000,1761177599999,502.73450000,8,398.00000000,24.99440000,0
2025-10-23,0.0621,0.064,0.061,0.0628,2944.00000000,1761263999999,184.12500000,8,852.00000000,53.89400000,0
2025-10-24,0.0639,0.0654,0.0635,0.0646,7463.00000000,1761350399999,482.53830000,9,5486.00000000,355.47840000,0
2025-10-25,0.0638,0.0638,0.0635,0.0635,367.00000000,1761436799999,23.40620000,2,0.00000000,0.00000000,0
2025-10-26,0.0658,0.0689,0.0658,0.0689,2333.00000000,1761523199999,154.66690000,4,2333.00000000,154.66690000,0
2025-10-27,0.0675,0.0675,0.064,0.064,12762.00000000,1761609599999,836.43210000,16,7495.00000000,494.76730000,0
2025-10-28,0.0658,0.0659,0.0619,0.0619,18020.00000000,1761695999999,1152.98150000,28,5601.00000000,364.83840000,0
2025-10-29,0.0619,0.0674,0.0606,0.0646,19579.00000000,1761782399999,1279.19650000,19,12008.00000000,791.07450000,0
2025-10-30,0.0638,0.0638,0.0594,0.0602,17939.00000000,1761868799999,1083.84450000,24,13669.00000000,822.15610000,0
2025-10-31,0.0611,0.0611,0.0611,0.0611,87.00000000,1761955199999,5.31570000,1,0.00000000,0.00000000,0
2025-11-01,0.0619,0.0657,0.0619,0.0646,1374.00000000,1762041599999,88.32600000,9,897.00000000,58.25270000,0
2025-11-02,0.0642,0.0647,0.064,0.0647,1162.00000000,1762127999999,74.57920000,3,1051.00000000,67.45300000,0
2025-11-03,0.063,0.063,0.0535,0.0563,24187.00000000,1762214399999,1384.03120000,42,5580.00000000,315.87240000,0
2025-11-04,0.0567,0.0573,0.0493,0.0549,27464.00000000,1762300799999,1490.43780000,56,12201.00000000,663.53630000,0
2025-11-05,0.0545,0.057,0.0544,0.0562,2648.00000000,1762387199999,146.68480000,13,1422.00000000,79.15650000,0
2025-11-06,0.0558,0.0559,0.054,0.0556,9997.00000000,1762473599999,552.75970000,11,7208.00000000,400.50260000,0
2025-11-07,0.057,0.0756,0.0563,0.0697,99214.00000000,1762559999999,6726.55610000,126,72077.00000000,4923.50120000,0
2025-11-08,0.0699,0.0699,0.0632,0.0637,39795.00000000,1762646399999,2662.19820000,40,21551.00000000,1448.99020000,0
2025-11-09,0.0618,0.065,0.0618,0.065,10084.00000000,1762732799999,651.85870000,15,9260.00000000,599.14590000,0
2025-11-10,0.0677,0.0702,0.0658,0.0702,20668.00000000,1762819199999,1414.23850000,29,16436.00000000,1125.97930000,0
2025-11-11,0.067,0.067,0.0615,0.0615,8447.00000000,1762905599999,554.72020000,14,0.00000000,0.00000000,0
2025-11-12,0.0629,0.0667,0.06,0.0644,5450.00000000,1762991999999,339.19980000,14,913.00000000,59.28030000,0
2025-11-13,0.0645,0.0645,0.0599,0.0599,16261.00000000,1763078399999,1003.34410000,25,4758.00000000,301.96780000,0
2025-11-14,0.059,0.0595,0.0555,0.0586,40012.00000000,1763164799999,2305.66700000,26,33705.00000000,1940.03460000,0
2025-11-15,0.0573,0.0586,0.0566,0.0586,35985.00000000,1763251199999,2093.75610000,22,9765.00000000,567.79560000,0
2025-11-16,0.0585,0.0622,0.0541,0.0558,16854.00000000,1763337599999,958.88440000,31,4766.00000000,280.33310000,0
2025-11-17,0.0558,0.0579,0.0531,0.0577,18542.00000000,1763423999999,1033.27620000,39,8367.00000000,472.08340000,0
2025-11-18,0.0563,0.0583,0.0411,0.0571,60028.00000000,1763510399999,3221.20230000,92,27997.00000000,1558.51830000,0
2025-11-19,0.0562,0.0562,0.0412,0.0552,34415.00000000,1763596799999,1829.62250000,64,12663.00000000,682.48040000,0
2025-11-20,0.0555,0.0591,0.053,0.0536,63051.00000000,1763683199999,3427.94410000,69,46776.00000000,2532.66230000,0
2025-11-21,0.053,0.0534,0.0454,0.0479,30374.00000000,1763769599999,1519.17580000,70,12968.00000000,653.75090000,0
2025-11-22,0.0472,0.0474,0.0472,0.0474,7060.00000000,1763855999999,334.59100000,5,6294.00000000,298.33560000,0
2025-11-23,0.0476,0.0511,0.0476,0.0499,5549.00000000,1763942399999,279.63900000,8,4309.00000000,218.26030000,0
2025-11-24,0.0483,0.0528,0.0475,0.0526,16050.00000000,1764028799999,806.74870000,10,246.00000000,12.97740000,0
2025-11-25,0.0492,0.0528,0.0491,0.0528,10038.00000000,1764115199999,512.94320000,26,8303.00000000,427.67280000,0
2025-11-26,0.0531,0.0539,0.0492,0.0539,8450.00000000,1764201599999,432.45990000,13,1821.00000000,96.36940000,0
