ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-09-14,55.91,55.91,52.0,53.98,2574.55500000,1757894399999,140441.06437000,477,1469.54200000,80770.39441000,0
2025-09-15,54.47,55.04,52.0,54.55,2366.98300000,1757980799999,126630.26736000,307,893.35000000,48268.70794000,0
2025-09-16,54.63,55.71,53.0,54.26,2218.67400000,1758067199999,121570.65674000,404,1385.14300000,75923.84173000,0
2025-09-17,54.68,58.03,53.95,58.03,1647.06100000,1758153599999,93405.11838000,439,1308.78700000,74278.48559000,0
2025-09-18,58.03,61.99,57.33,59.04,6269.73900000,1758239999999,371445.14900000,908,3243.28800000,191843.56065000,0
2025-09-19,59.04,59.59,55.69,56.43,1742.83900000,1758326399999,99344.18606000,467,830.56900000,47487.96055000,0
2025-09-20,56.8,57.35,54.0,54.73,1920.30400000,1758412799999,107792.51883000,403,772.59500000,43304.28534000,0
2025-09-21,54.73,54.9,51.0,51.02,3246.79700000,1758499199999,170914.23398000,659,1627.99500000,86066.00679000,0
2025-09-22,51.0,51.08,47.22,47.88,3871.22400000,1758585599999,190875.56731000,861,1867.48100000,92334.79193000,0
2025-09-23,47.88,50.95,44.5,44.95,3043.47200000,1758671999999,141664.09154000,885,1189.56100000,55369.29338000,0
2025-09-24,44.88,46.57,43.5,45.55,2727.62400000,1758758399999,123511.97588000,633,1794.80300000,81320.23927000,0
2025-09-25,45.88,46.14,40.0,40.19,5455.99600000,1758844799999,230187.91589000,775,2784.85400000,116241.12848000,0
2025-09-26,40.35,46.06,40.35,45.14,4465.22200000,1758931199999,191063.15413000,601,3231.49100000,137684.61236000,0
2025-09-27,45.14,47.5,43.32,45.4,1927.54500000,1759017599999,87564.81362000,381,1566.12000000,71246.29134000,0
2025-09-28,45.85,48.56,43.77,47.88,1216.89800000,1759103999999,56267.73485000,390,601.39600000,28098.13050000,0
2025-09-29,47.88,48.57,45.0,46.92,1077.36100000,1759190399999,51127.62761000,406,566.96200000,27071.95375000,0
2025-09-30,46.92,47.14,44.13,45.46,1038.45700000,1759276799999,47026.01211000,535,473.35200000,21564.84051000,0
2025-10-01,45.51,48.44,44.95,47.56,1731.44800000,1759363199999,82064.42940000,350,738.38700000,34961.15814000,0
2025-10-02,47.57,51.13,47.57,50.6,1977.43000000,1759449599999,98578.08556000,602,911.69700000,45538.46420000,0
2025-10-03,50.33,51.22,48.97,49.87,1468.19600000,1759535999999,73712.02842000,468,963.04000000,48460.42655000,0
2025-10-04,50.03,50.03,48.01,49.18,2201.80200000,1759622399999,107714.55520000,421,1752.37200000,85922.37972000,0
2025-10-05,49.18,51.73,47.53,48.13,1262.11600000,1759708799999,62203.12398000,554,665.29200000,32918.27566000,0
2025-10-06,48.29,50.22,47.8,47.8,2630.11000000,1759795199999,129041.68481000,736,1090.03300000,53868.34294000,0
2025-10-07,47.85,48.01,44.43,45.39,1962.19300000,1759881599999,90092.78352000,643,969.00900000,44580.53158000,0
2025-10-08,45.09,47.5,45.09,46.46,1701.59600000,1759967999999,78888.10820000,487,933.17400000,43368.40741000,0
2025-10-09,46.46,46.87,42.46,44.35,1388.97900000,1760054399999,61016.12156000,487,688.36900000,30277.20438000,0
2025-10-10,44.3,45.74,35.35,38.84,2995.66500000,1760140799999,122037.43223000,1044,1332.78200000,55626.14264000,0
2025-10-11,38.34,41.02,34.5,37.41,3230.13900000,1760227199999,122642.84331000,645,1834.17600000,69453.71831000,0
2025-10-12,37.44,43.0,35.55,40.46,2248.44600000,1760313599999,88618.35397000,697,1488.77600000,59064.26927000,0
2025-10-13,40.02,43.77,38.32,42.67,2758.94600000,1760399999999,112720.61310000,816,1629.58000000,67452.82806000,0
2025-10-14,42.76,43.07,37.67,39.88,2528.62000000,1760486399999,102443.68703000,748,1330.74200000,53795.14362000,0
2025-10-15,39.64,41.14,37.13,37.37,1435.44300000,1760572799999,56414.53741000,475,646.61500000,25552.84067000,0
2025-10-16,37.51,39.49,36.31,36.96,2762.29200000,1760659199999,105339.88624000,581,992.35200000,37497.29089000,0
2025-10-17,36.73,37.95,33.71,35.72,1924.45900000,1760745599999,68703.50515000,494,793.38100000,28556.29666000,0
2025-10-18,35.57,36.76,34.77,36.6,950.87800000,1760831999999,33855.65087000,179,322.29100000,11596.11604000,0
2025-10-19,36.43,38.8,36.42,38.0,1858.19600000,1760918399999,70676.72081000,309,411.83900000,15612.36282000,0
2025-10-20,38.29,39.57,36.99,38.13,972.82400000,1761004799999,37283.25655000,275,422.23100000,16196.31773000,0
2025-10-21,37.87,38.34,35.56,35.64,821.19900000,1761091199999,30238.14430000,247,460.75500000,17003.41160000,0
2025-10-22,35.79,37.09,34.56,36.56,2365.80700000,1761177599999,84341.47389000,404,952.24600000,34174.65301000,0
2025-10-23,36.22,40.86,36.22,40.35,2716.64300000,1761263999999,107188.10778000,491,1572.94600000,61529.70723000,0
2025-10-24,40.35,42.74,39.17,39.65,1447.17700000,1761350399999,58230.20232000,459,701.38800000,28213.46092000,0
2025-10-25,39.59,44.74,39.01,44.29,3106.22000000,1761436799999,130042.30428000,562,1758.27600000,73061.97455000,0
2025-10-26,44.65,48.86,43.44,47.5,5480.77400000,1761523199999,256867.34023000,1139,3725.69800000,175400.51438000,0
2025-10-27,47.39,50.0,45.9,46.6,9192.53100000,1761609599999,439454.77353000,1286,3627.29300000,170408.41283000,0
2025-10-28,46.6,49.25,46.45,48.22,889.69100000,1761695999999,42402.11079000,288,496.33400000,23721.06042000,0
2025-10-29,48.19,49.58,46.38,47.79,4376.12600000,1761782399999,209425.57687000,725,2248.49400000,107047.93678000,0
2025-10-30,47.79,49.89,42.45,45.53,3115.79900000,1761868799999,140568.71715000,668,1505.80000000,67736.56938000,0
2025-10-31,45.51,46.35,42.7,43.72,3204.09500000,1761955199999,141875.02093000,550,2141.84000000,94284.89643000,0
2025-11-01,43.66,44.47,43.0,43.46,706.65200000,1762041599999,30739.83664000,287,428.03800000,18635.91122000,0
2025-11-02,43.04,43.56,41.21,42.63,1612.30100000,1762127999999,68679.17739000,280,945.16300000,40258.92180000,0
2025-11-03,42.65,42.65,38.02,40.14,2662.23200000,1762214399999,105664.29124000,383,1533.76200000,60691.62321000,0
2025-11-04,39.7,40.89,35.52,39.14,5960.46800000,1762300799999,228721.04600000,687,3873.47400000,149051.96452000,0
2025-11-05,39.11,42.2,37.58,41.34,3153.39700000,1762387199999,128670.27185000,445,1424.86100000,58560.15180000,0
2025-11-06,41.42,41.49,37.76,38.64,1843.91700000,1762473599999,72086.95482000,222,1224.50900000,47984.15677000,0
2025-11-07,38.84,43.52,37.82,42.64,1984.60500000,1762559999999,80822.07773000,522,1253.26300000,51334.80991000,0
