ts,open,high,low,close,volume,volume_ccy,quote_asset_volume,confirm,close_time,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-09-21 00:00:00+00:00,4.73,4.808,4.675,4.697,124590680,1245906.8,5901686.25195,1,1758499199999,,,,
2025-09-22 00:00:00+00:00,4.698,4.71,4.157,4.312,501052767,5010527.67,21997274.74205,1,1758585599999,,,,
2025-09-23 00:00:00+00:00,4.313,4.382,4.212,4.322,165345834,1653458.34,7132989.32456,1,1758671999999,,,,
2025-09-24 00:00:00+00:00,4.323,4.411,4.24,4.304,144152716,1441527.16,6251613.61739,1,1758758399999,,,,
2025-09-25 00:00:00+00:00,4.304,4.313,3.992,4.081,343136561,3431365.61,14237922.17965,1,1758844799999,,,,
2025-09-26 00:00:00+00:00,4.081,4.231,4.05,4.207,186112821,1861128.21,7687211.91465,1,1758931199999,,,,
2025-09-27 00:00:00+00:00,4.208,4.234,4.145,4.196,98647878,986478.78,4130521.80843,1,1759017599999,,,,
2025-09-28 00:00:00+00:00,4.197,4.315,4.105,4.286,117358421,1173584.21,4926389.28438,1,1759103999999,,,,
2025-09-29 00:00:00+00:00,4.285,4.295,4.156,4.242,144741960,1447419.6,6131321.85167,1,1759190399999,,,,
2025-09-30 00:00:00+00:00,4.242,4.251,4.087,4.221,143782288,1437822.88,6009716.61039,1,1759276799999,,,,
2025-10-01 00:00:00+00:00,4.222,4.492,4.207,4.489,291750654,2917506.54,12707977.46044,1,1759363199999,,,,
2025-10-02 00:00:00+00:00,4.488,4.593,4.423,4.576,227972061,2279720.61,10286664.81051,1,1759449599999,,,,
2025-10-03 00:00:00+00:00,4.576,4.695,4.482,4.653,238681607,2386816.07,10911489.89919,1,1759535999999,,,,
2025-10-04 00:00:00+00:00,4.654,4.682,4.424,4.493,152455580,1524555.8,6892374.72315,1,1759622399999,,,,
2025-10-05 00:00:00+00:00,4.492,4.678,4.463,4.52,223725597,2237255.97,10253274.531,1,1759708799999,,,,
2025-10-06 00:00:00+00:00,4.52,4.687,4.479,4.613,202622164,2026221.64,9327747.29865,1,1759795199999,,,,
2025-10-07 00:00:00+00:00,4.613,4.632,4.363,4.419,247058682,2470586.82,11100747.12777,1,1759881599999,,,,
2025-10-08 00:00:00+00:00,4.42,4.585,4.347,4.503,257009799,2570097.99,11449139.15774,1,1759967999999,,,,
2025-10-09 00:00:00+00:00,4.504,4.514,4.275,4.359,161040774,1610407.74,7033921.76177,1,1760054399999,,,,
2025-10-10 00:00:00+00:00,4.359,4.464,1.802,3.012,1294880376,12948803.76,43232755.1901,1,1760140799999,,,,
2025-10-11 00:00:00+00:00,3.01,3.394,2.89,3.126,659989658,6599896.58,20622169.11556,1,1760227199999,,,,
2025-10-12 00:00:00+00:00,3.126,3.559,3.068,3.495,334194022,3341940.22,11042164.11265,1,1760313599999,,,,
2025-10-13 00:00:00+00:00,3.494,3.773,3.407,3.715,423434619,4234346.19,15066772.12452,1,1760399999999,,,,
2025-10-14 00:00:00+00:00,3.716,3.731,3.354,3.531,395322555,3953225.55,13839290.45663,1,1760486399999,,,,
2025-10-15 00:00:00+00:00,3.531,3.561,3.264,3.346,341368844,3413688.44,11647025.35178,1,1760572799999,,,,
2025-10-16 00:00:00+00:00,3.346,3.407,3.095,3.135,422583633,4225836.33,13821279.00642,1,1760659199999,,,,
2025-10-17 00:00:00+00:00,3.136,3.172,2.878,3.004,504295081,5042950.81,15132222.32466,1,1760745599999,,,,
2025-10-18 00:00:00+00:00,3.004,3.097,2.995,3.045,171331615,1713316.15,5225209.22166,1,1760831999999,,,,
2025-10-19 00:00:00+00:00,3.046,3.123,2.988,3.067,305438018,3054380.18,9379076.50787,1,1760918399999,,,,
2025-10-20 00:00:00+00:00,3.066,3.22,3.006,3.186,294442668,2944426.68,9236775.18137,1,1761004799999,,,,
2025-10-21 00:00:00+00:00,3.186,3.282,3.029,3.04,460147901,4601479.01,14497212.14058,1,1761091199999,,,,
2025-10-22 00:00:00+00:00,3.04,3.068,2.862,2.97,370235437,3702354.37,11054344.53062,1,1761177599999,,,,
2025-10-23 00:00:00+00:00,2.972,3.078,2.968,3.035,228386684,2283866.84,6884181.97491,1,1761263999999,,,,
2025-10-24 00:00:00+00:00,3.035,3.159,3.025,3.144,262919090,2629190.9,8147270.72314,1,1761350399999,,,,
2025-10-25 00:00:00+00:00,3.142,3.175,3.084,3.115,150890132,1508901.32,4716695.67552,1,1761436799999,,,,
