ts,open,high,low,close,volume,volume_ccy,quote_asset_volume,confirm,close_time,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-09-16 00:00:00+00:00,15.25,15.9,15.1,15.77,639853,63985.3,992667.876,1,1758067199999,,,,
2025-09-17 00:00:00+00:00,15.77,16.19,15.38,16.02,871392,87139.2,1370812.106,1,1758153599999,,,,
2025-09-18 00:00:00+00:00,16.02,16.32,15.88,16.1,1066977,106697.7,1717699.23,1,1758239999999,,,,
2025-09-19 00:00:00+00:00,16.11,16.9,15.52,15.67,2127468,212746.8,3450032.81,1,1758326399999,,,,
2025-09-20 00:00:00+00:00,15.65,16.27,15.54,15.88,949796,94979.6,1510556.895,1,1758412799999,,,,
2025-09-21 00:00:00+00:00,15.89,16.03,15.33,15.36,771199,77119.9,1212405.089,1,1758499199999,,,,
2025-09-22 00:00:00+00:00,15.36,15.41,13.49,14.34,2552666,255266.6,3673125.949,1,1758585599999,,,,
2025-09-23 00:00:00+00:00,14.33,14.49,13.93,14.13,893900,89390,1274441.642,1,1758671999999,,,,
2025-09-24 00:00:00+00:00,14.14,14.48,13.83,14.21,580290,58029,824222.001,1,1758758399999,,,,
2025-09-25 00:00:00+00:00,14.21,14.22,13.01,13.16,1712751,171275.1,2326824.98,1,1758844799999,,,,
2025-09-26 00:00:00+00:00,13.17,14.24,13.14,14.01,1582619,158261.9,2150083.15,1,1758931199999,,,,
2025-09-27 00:00:00+00:00,14.01,14.05,13.79,13.97,725453,72545.3,1009895.63,1,1759017599999,,,,
2025-09-28 00:00:00+00:00,13.98,15.2,13.66,14.66,2646656,264665.6,3847530.122,1,1759103999999,,,,
2025-09-29 00:00:00+00:00,14.65,14.69,14.03,14.32,1124889,112488.9,1615931.56,1,1759190399999,,,,
2025-09-30 00:00:00+00:00,14.32,14.4,13.8,14.35,1112297,111229.7,1574318.295,1,1759276799999,,,,
2025-10-01 00:00:00+00:00,14.34,15.09,14.15,15.09,1134466,113446.6,1664855.288,1,1759363199999,,,,
2025-10-02 00:00:00+00:00,15.09,15.54,14.98,15.45,963808,96380.8,1470187.273,1,1759449599999,,,,
2025-10-03 00:00:00+00:00,15.45,15.58,14.94,15.37,996196,99619.6,1516685.251,1,1759535999999,,,,
2025-10-04 00:00:00+00:00,15.36,15.44,14.71,14.93,686531,68653.1,1030568.733,1,1759622399999,,,,
2025-10-05 00:00:00+00:00,14.93,15.64,14.83,14.99,739856,73985.6,1124533.167,1,1759708799999,,,,
2025-10-06 00:00:00+00:00,14.99,15.72,14.88,15.58,678040,67804,1043485.999,1,1759795199999,,,,
2025-10-07 00:00:00+00:00,15.57,15.8,14.62,14.79,1351005,135100.5,2056440.719,1,1759881599999,,,,
2025-10-08 00:00:00+00:00,14.79,15.17,14.55,15.06,762891,76289.1,1132382.397,1,1759967999999,,,,
2025-10-09 00:00:00+00:00,15.06,15.09,14.26,14.74,1460021,146002.1,2145032.299,1,1760054399999,,,,
2025-10-10 00:00:00+00:00,14.75,15.19,4.37,10.49,5468162,546816.2,6074212.181,1,1760140799999,,,,
2025-10-11 00:00:00+00:00,10.5,11.62,10.04,10.36,2659410,265941,2848633.478,1,1760227199999,,,,
2025-10-12 00:00:00+00:00,10.36,11.82,10.2,11.6,1913415,191341.5,2129978.366,1,1760313599999,,,,
2025-10-13 00:00:00+00:00,11.59,12.31,11.43,12.23,2514407,251440.7,2992022.654,1,1760399999999,,,,
2025-10-14 00:00:00+00:00,12.22,12.27,10.93,11.74,1990401,199040.1,2291493.378,1,1760486399999,,,,
2025-10-15 00:00:00+00:00,11.74,11.93,10.94,11.24,1064913,106491.3,1217606.068,1,1760572799999,,,,
2025-10-16 00:00:00+00:00,11.24,11.65,10.68,10.87,1560855,156085.5,1754545.497,1,1760659199999,,,,
2025-10-17 00:00:00+00:00,10.87,11.1,10.12,10.48,1498814,149881.4,1582777.19,1,1760745599999,,,,
2025-10-18 00:00:00+00:00,10.49,10.72,10.29,10.54,807587,80758.7,850456.08,1,1760831999999,,,,
2025-10-19 00:00:00+00:00,10.53,11.12,10.37,10.94,862541,86254.1,927758.506,1,1760918399999,,,,
2025-10-20 00:00:00+00:00,10.94,11.31,10.72,10.8,874058,87405.8,958538.801,1,1761004799999,,,,
