ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-09-14,1.196e-05,1.197e-05,1.115e-05,1.154e-05,2153009075.00,1757894399999,25088.73448788,587,1068904692.00,12484.05181814,0
2025-09-15,1.15e-05,1.165e-05,1.058e-05,1.078e-05,2380056661.00,1757980799999,25826.24699087,491,775345131.00,8430.73733929,0
2025-09-16,1.075e-05,1.108e-05,1.061e-05,1.106e-05,911632050.00,1758067199999,9919.42444391,271,586460646.00,6384.83053033,0
2025-09-17,1.108e-05,1.188e-05,1.074e-05,1.14e-05,25183506489.00,1758153599999,278356.23274141,1355,7056914335.00,79644.99408742,0
2025-09-18,1.141e-05,1.164e-05,1.123e-05,1.146e-05,4522128940.00,1758239999999,51548.26854266,531,2367415298.00,27027.57025834,0
2025-09-19,1.138e-05,1.143e-05,1.069e-05,1.073e-05,713589809.00,1758326399999,7929.34383645,262,431594315.00,4831.35311502,0
2025-09-20,1.075e-05,1.084e-05,1.055e-05,1.07e-05,3361925617.00,1758412799999,35679.97454413,188,2420986965.00,25695.28539504,0
2025-09-21,1.071e-05,1.077e-05,1.039e-05,1.04e-05,1015695336.00,1758499199999,10786.09333463,253,232811691.00,2459.26326850,0
2025-09-22,1.042e-05,1.049e-05,9.41e-06,9.6e-06,5418132760.00,1758585599999,52901.38347400,660,775270355.00,7655.19267752,0
2025-09-23,9.63e-06,9.81e-06,9.44e-06,9.56e-06,1952655156.00,1758671999999,18918.75680362,197,733291183.00,7082.62287207,0
2025-09-24,9.65e-06,9.83e-06,9.37e-06,9.62e-06,3304453045.00,1758758399999,32051.00216809,215,432172542.00,4182.43054480,0
2025-09-25,9.57e-06,9.63e-06,8.88e-06,9.04e-06,4828272775.00,1758844799999,44401.50922084,522,2928037718.00,26783.68765967,0
2025-09-26,9.09e-06,9.46e-06,9.07e-06,9.39e-06,767834115.00,1758931199999,7144.31766784,145,224023997.00,2089.26774241,0
2025-09-27,9.38e-06,9.43e-06,9.22e-06,9.25e-06,937920914.00,1759017599999,8683.49792447,74,120714297.00,1119.80983352,0
2025-09-28,9.2e-06,9.45e-06,9.05e-06,9.44e-06,653109127.00,1759103999999,5987.38841405,119,526594273.00,4833.68876033,0
2025-09-29,9.36e-06,9.5e-06,9.12e-06,9.38e-06,979858817.00,1759190399999,9114.03863689,167,370463986.00,3456.87540823,0
2025-09-30,9.44e-06,9.44e-06,8.98e-06,9.31e-06,1874458647.00,1759276799999,17310.11687736,219,571063083.00,5296.01719352,0
2025-10-01,9.36e-06,9.77e-06,9.25e-06,9.76e-06,1107780647.00,1759363199999,10640.61557438,177,659387645.00,6316.03213888,0
2025-10-02,9.78e-06,1.031e-05,9.75e-06,1.027e-05,6442682014.00,1759449599999,64701.18690848,561,5470888031.00,54923.13199875,0
2025-10-03,1.018e-05,1.037e-05,9.86e-06,1.01e-05,922553218.00,1759535999999,9289.05213438,439,447187089.00,4520.94172419,0
2025-10-04,1.016e-05,1.021e-05,9.58e-06,9.76e-06,2178824610.00,1759622399999,21323.85349874,343,652799454.00,6428.28585631,0
2025-10-05,9.7e-06,1.016e-05,9.7e-06,9.84e-06,2257648507.00,1759708799999,22520.50839492,372,869833058.00,8695.54534855,0
2025-10-06,9.78e-06,1.036e-05,9.67e-06,1.02e-05,1987489175.00,1759795199999,19942.91214814,399,755456231.00,7671.34222768,0
2025-10-07,1.018e-05,1.024e-05,9.45e-06,9.45e-06,2675427689.00,1759881599999,26164.83674798,411,817344296.00,7951.22224048,0
2025-10-08,9.5e-06,9.73e-06,9.25e-06,9.55e-06,3847858358.00,1759967999999,36070.91128997,305,914134401.00,8561.55928074,0
2025-10-09,9.53e-06,9.57e-06,9.01e-06,9.27e-06,845130780.00,1760054399999,7787.63355219,323,206525883.00,1908.24326638,0
