ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-09-14,1.426e-05,1.428e-05,1.357e-05,1.364e-05,2800395161.00,1757894399999,38892.53917742,353,1035331566.00,14393.65150887,0
2025-09-15,1.371e-05,1.38e-05,1.294e-05,1.307e-05,4148760271.00,1757980799999,55416.61616154,501,1218326646.00,16178.92220474,0
2025-09-16,1.301e-05,1.324e-05,1.287e-05,1.321e-05,4171679320.00,1758067199999,54416.30123797,158,2715588608.00,35385.97580028,0
2025-09-17,1.317e-05,1.358e-05,1.288e-05,1.351e-05,5350075165.00,1758153599999,70187.60141376,267,2138011222.00,28317.94827955,0
2025-09-18,1.353e-05,1.358e-05,1.329e-05,1.339e-05,6149247938.00,1758239999999,82773.32054805,2625,4069028463.00,54876.65977207,0
2025-09-19,1.34e-05,1.353e-05,1.28e-05,1.28e-05,4455058369.00,1758326399999,58234.73310738,214,352727091.00,4578.83628214,0
2025-09-20,1.283e-05,1.304e-05,1.279e-05,1.292e-05,278429449.00,1758412799999,3593.74790212,106,94936361.00,1226.91306490,0
2025-09-21,1.289e-05,1.304e-05,1.275e-05,1.278e-05,1126297709.00,1758499199999,14481.53562477,213,590225979.00,7591.54509575,0
2025-09-22,1.275e-05,1.275e-05,1.193e-05,1.211e-05,7042379488.00,1758585599999,86979.54531939,591,1036785880.00,12658.50182185,0
2025-09-23,1.212e-05,1.227e-05,1.19e-05,1.207e-05,1584496176.00,1758671999999,19231.45271931,174,898812887.00,10899.74810481,0
2025-09-24,1.213e-05,1.233e-05,1.199e-05,1.21e-05,831323477.00,1758758399999,10099.24416424,126,440457055.00,5323.27755719,0
2025-09-25,1.212e-05,1.216e-05,1.151e-05,1.161e-05,5430500281.00,1758844799999,64530.12229020,401,3949926887.00,47127.21239544,0
2025-09-26,1.17e-05,1.196e-05,1.15e-05,1.188e-05,1335435727.00,1758931199999,15741.99865633,132,273233200.00,3233.47661602,0
2025-09-27,1.187e-05,1.192e-05,1.174e-05,1.182e-05,823120050.00,1759017599999,9701.76374810,90,262371229.00,3103.23570142,0
2025-09-28,1.181e-05,1.201e-05,1.145e-05,1.2e-05,13700658573.00,1759103999999,158135.79564136,490,11132273498.00,128310.20096839,0
2025-09-29,1.195e-05,1.204e-05,1.172e-05,1.197e-05,657173407.00,1759190399999,7828.10997164,137,321471682.00,3837.46712227,0
2025-09-30,1.192e-05,1.193e-05,1.156e-05,1.181e-05,2500230634.00,1759276799999,29181.53882736,148,1621921035.00,18907.53613636,0
2025-10-01,1.185e-05,1.238e-05,1.175e-05,1.235e-05,2493496372.00,1759363199999,30447.53206166,255,509999009.00,6170.60982096,0
2025-10-02,1.239e-05,1.27e-05,1.233e-05,1.263e-05,5076504720.00,1759449599999,63872.36173804,370,2867879507.00,36083.99609839,0
2025-10-03,1.262e-05,1.285e-05,1.235e-05,1.266e-05,6371938675.00,1759535999999,80492.70197874,397,2825732077.00,35657.49406509,0
2025-10-04,1.265e-05,1.273e-05,1.225e-05,1.237e-05,4673461623.00,1759622399999,58589.41009418,305,1419312442.00,17731.00426600,0
2025-10-05,1.236e-05,1.295e-05,1.228e-05,1.244e-05,3383082777.00,1759708799999,42820.17490343,372,2487913615.00,31473.40267843,0
2025-10-06,1.242e-05,1.301e-05,1.238e-05,1.283e-05,2626307425.00,1759795199999,33524.54092058,375,1441572628.00,18445.23353645,0
2025-10-07,1.287e-05,1.289e-05,1.218e-05,1.218e-05,2931337133.00,1759881599999,36621.09566187,260,724013480.00,9087.86592899,0
2025-10-08,1.218e-05,1.245e-05,1.206e-05,1.236e-05,2920585146.00,1759967999999,35570.93813530,185,1176061426.00,14340.44829103,0
2025-10-09,1.226e-05,1.228e-05,1.175e-05,1.198e-05,1269231058.00,1760054399999,15151.37906593,187,167627376.00,2004.11164064,0
2025-10-10,1.202e-05,1.212e-05,6.94e-06,9.62e-06,11381756521.00,1760140799999,107682.88410296,1374,4970458203.00,47005.62274497,0
2025-10-11,9.84e-06,1.068e-05,9.61e-06,9.97e-06,4714768147.00,1760227199999,47598.97406831,393,2957280409.00,29827.88863996,0
2025-10-12,9.97e-06,1.084e-05,9.83e-06,1.067e-05,3603885004.00,1760313599999,37894.63307627,329,2688642362.00,28581.67927382,0
2025-10-13,1.069e-05,1.127e-05,1.06e-05,1.113e-05,1194876208.00,1760399999999,13092.74172719,249,691363513.00,7571.21293901,0
2025-10-14,1.113e-05,1.113e-05,1.023e-05,1.068e-05,4477875889.00,1760486399999,47059.32506828,325,2536137512.00,26593.69947904,0
2025-10-15,1.075e-05,1.087e-05,1.023e-05,1.033e-05,4378682783.00,1760572799999,46349.50299953,184,1932525735.00,20529.96167223,0
2025-10-16,1.034e-05,1.05e-05,9.91e-06,9.99e-06,4887475247.00,1760659199999,49979.38406409,203,3000063476.00,30841.32319403,0
2025-10-17,1.003e-05,1.008e-05,9.26e-06,9.75e-06,1065238611.00,1760745599999,10234.51088267,226,224098743.00,2177.58506110,0
2025-10-18,9.72e-06,9.96e-06,9.71e-06,9.92e-06,442707654.00,1760831999999,4364.26905013,90,209294623.00,2070.91816163,0
2025-10-19,9.92e-06,1.018e-05,9.78e-06,1.007e-05,1867648675.00,1760918399999,18692.87536839,113,607034252.00,6068.10743873,0
2025-10-20,1.005e-05,1.05e-05,9.92e-06,1.015e-05,2513247013.00,1761004799999,25449.03728230,274,1555026679.00,15841.40546083,0
2025-10-21,1.017e-05,1.053e-05,9.85e-06,1.005e-05,2864143697.00,1761091199999,28859.54042952,221,442075755.00,4540.65095639,0
2025-10-22,1.005e-05,1.009e-05,9.62e-06,9.87e-06,1240031308.00,1761177599999,12296.42543663,105,340841322.00,3397.10840501,0
2025-10-23,9.88e-06,1.018e-05,9.74e-06,1.013e-05,1866088869.00,1761263999999,18691.13572983,87,810116053.00,8118.65987699,0
2025-10-24,1.008e-05,1.03e-05,1.006e-05,1.023e-05,1165941403.00,1761350399999,11861.82101507,72,654405465.00,6660.57683550,0
2025-10-25,1.017e-05,1.023e-05,1.01e-05,1.018e-05,373669133.00,1761436799999,3793.96287703,41,232034152.00,2358.00123862,0
2025-10-26,1.019e-05,1.064e-05,1.01e-05,1.057e-05,3487902266.00,1761523199999,36414.92225359,133,1045645082.00,10777.20871039,0
2025-10-27,1.062e-05,1.071e-05,1.033e-05,1.04e-05,1354279723.00,1761609599999,14276.97233735,219,337788480.00,3561.56952149,0
2025-10-28,1.039e-05,1.043e-05,9.99e-06,1.013e-05,1376151629.00,1761695999999,14077.66844005,141,784449562.00,8079.53223231,0
2025-10-29,1.013e-05,1.041e-05,9.96e-06,1.013e-05,477868614.00,1761782399999,4881.97845882,96,300027540.00,3068.33377579,0
2025-10-30,1.013e-05,1.024e-05,9.38e-06,9.72e-06,1724718022.00,1761868799999,16515.75508445,186,652666827.00,6257.90772003,0
2025-10-31,9.74e-06,1.004e-05,9.73e-06,1.004e-05,301888731.00,1761955199999,2987.32420938,58,213015288.00,2106.31710194,0
2025-11-01,1.001e-05,1.024e-05,9.83e-06,1.02e-05,934237330.00,1762041599999,9433.40208294,71,797497825.00,8057.45434141,0
2025-11-02,1.017e-05,1.023e-05,9.96e-06,1.015e-05,722498902.00,1762127999999,7251.57763344,54,366798757.00,3680.27660834,0
2025-11-03,1.018e-05,1.018e-05,9e-06,9.15e-06,6842429956.00,1762214399999,64544.19252103,390,2598123576.00,24241.35654759,0
2025-11-04,9.15e-06,9.3e-06,8.35e-06,8.74e-06,4881084193.00,1762300799999,43097.16081964,455,1184672386.00,10582.22370509,0
2025-11-05,8.75e-06,9.22e-06,8.47e-06,9.21e-06,1334912317.00,1762387199999,12017.78316393,157,663564950.00,6023.41806596,0
2025-11-06,9.19e-06,9.19e-06,8.79e-06,9.01e-06,484092711.00,1762473599999,4360.72115198,105,172012858.00,1560.02345993,0
2025-11-07,9.06e-06,1.032e-05,9.01e-06,1.001e-05,4749413789.00,1762559999999,47174.49628548,289,4146126207.00,41238.55560234,0
2025-11-08,1.018e-05,1.023e-05,7.04e-06,9.93e-06,2887672648.00,1762646399999,26513.57003975,413,767212271.00,7581.99873836,0
2025-11-09,9.95e-06,1.008e-05,9.63e-06,9.97e-06,4519414832.00,1762732799999,44600.63310147,179,2540593114.00,25129.75065849,0
2025-11-10,1.004e-05,1.021e-05,9.87e-06,1.018e-05,3552899644.00,1762819199999,35900.69558896,144,2804373470.00,28338.07685319,0
2025-11-11,1.014e-05,1.027e-05,9.64e-06,9.64e-06,1435780527.00,1762905599999,14171.55085721,172,189484329.00,1915.11486605,0
2025-11-12,9.7e-06,9.95e-06,9.47e-06,9.49e-06,886336880.00,1762991999999,8507.60319023,116,166383736.00,1605.00176188,0
2025-11-13,9.51e-06,9.84e-06,9.06e-06,9.33e-06,3575541421.00,1763078399999,33648.35115143,170,1775678223.00,16589.50492930,0
2025-11-14,9.36e-06,9.36e-06,8.88e-06,9e-06,1436709860.00,1763164799999,13099.47980515,169,642763023.00,5885.20725313,0
2025-11-15,9.03e-06,9.25e-06,9.03e-06,9.05e-06,2603198180.00,1763251199999,23803.39771855,62,1601404838.00,14675.80511787,0
2025-11-16,9.02e-06,9.22e-06,8.67e-06,8.75e-06,2234904452.00,1763337599999,19714.72719697,180,712687247.00,6292.80985138,0
2025-11-17,8.91e-06,9.15e-06,8.49e-06,8.55e-06,1888016173.00,1763423999999,16548.84822928,202,714272800.00,6334.52013933,0
2025-11-18,8.54e-06,9.03e-06,8.49e-06,8.86e-06,2249523884.00,1763510399999,19962.12678070,143,722512405.00,6362.84095828,0
