ts,open,high,low,close,volume,volume_ccy,quote_asset_volume,confirm,close_time,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-09-14 00:00:00+00:00,3.8143,3.8242,3.6377,3.6853,43250226,43250226,161137009.0764,1,1757894399999,,,,
2025-09-15 00:00:00+00:00,3.6852,3.7219,3.4569,3.5201,48873322,48873322,173977933.0199,1,1757980799999,,,,
2025-09-16 00:00:00+00:00,3.5202,3.6532,3.4652,3.598,46430285,46430285,166354407.5776,1,1758067199999,,,,
2025-09-17 00:00:00+00:00,3.598,3.7996,3.5204,3.7704,60827747,60827747,220500291.4077,1,1758153599999,,,,
2025-09-18 00:00:00+00:00,3.7703,3.9738,3.7524,3.8881,60264863,60264863,233444553.9675,1,1758239999999,,,,
2025-09-19 00:00:00+00:00,3.8881,3.9148,3.6096,3.6362,58091246,58091246,217913925.2901,1,1758326399999,,,,
2025-09-20 00:00:00+00:00,3.6361,3.7078,3.6179,3.6555,27972459,27972459,102554001.5457,1,1758412799999,,,,
2025-09-21 00:00:00+00:00,3.6556,3.6822,3.5867,3.6069,28327409,28327409,103052782.6602,1,1758499199999,,,,
2025-09-22 00:00:00+00:00,3.6068,3.6287,3.2163,3.3616,86858041,86858041,295029835.8974,1,1758585599999,,,,
2025-09-23 00:00:00+00:00,3.3615,3.418,3.2767,3.3185,44270774,44270774,148733408.5382,1,1758671999999,,,,
2025-09-24 00:00:00+00:00,3.3185,3.4388,3.2311,3.3616,72820498,72820498,244353336.679,1,1758758399999,,,,
2025-09-25 00:00:00+00:00,3.3615,3.3687,3.0639,3.1094,161860830,161860830,528306677.5347,1,1758844799999,,,,
2025-09-26 00:00:00+00:00,3.1093,3.2539,3.0701,3.2208,62390916,62390916,196732450.1866,1,1758931199999,,,,
2025-09-27 00:00:00+00:00,3.2206,3.2293,3.1474,3.1761,25554531,25554531,81643342.4499,1,1759017599999,,,,
2025-09-28 00:00:00+00:00,3.1762,3.2836,3.0928,3.2754,33481445,33481445,106261473.8454,1,1759103999999,,,,
2025-09-29 00:00:00+00:00,3.2758,3.3273,3.2036,3.2783,45220444,45220444,148209340.0496,1,1759190399999,,,,
2025-09-30 00:00:00+00:00,3.2783,3.311,3.1508,3.2591,54371079,54371079,175588397.3241,1,1759276799999,,,,
2025-10-01 00:00:00+00:00,3.2592,3.5313,3.2134,3.5199,56715415,56715415,192343596.9819,1,1759363199999,,,,
2025-10-02 00:00:00+00:00,3.52,3.6434,3.4792,3.5846,55909103,55909103,198873733.2499,1,1759449599999,,,,
