ts,open,high,low,close,volume,volume_ccy,quote_asset_volume,confirm,close_time,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-09-22 00:00:00+00:00,0.2856,0.2869,0.2331,0.2492,6696201,66962010,17013552.027,1,1758585599999,,,,
2025-09-23 00:00:00+00:00,0.2492,0.2636,0.2422,0.2547,3200154,32001540,8147885.455,1,1758671999999,,,,
2025-09-24 00:00:00+00:00,0.2547,0.2581,0.2464,0.25,2049382,20493820,5172658.735,1,1758758399999,,,,
2025-09-25 00:00:00+00:00,0.2499,0.2505,0.2233,0.2296,4736503,47365030,11103526.81,1,1758844799999,,,,
2025-09-26 00:00:00+00:00,0.2296,0.242,0.2295,0.2389,1852687,18526870,4354596.866,1,1758931199999,,,,
2025-09-27 00:00:00+00:00,0.2389,0.24,0.2337,0.2363,816823,8168230,1934510.222,1,1759017599999,,,,
2025-09-28 00:00:00+00:00,0.2364,0.2522,0.23,0.2459,3401759,34017590,8220472.765,1,1759103999999,,,,
2025-09-29 00:00:00+00:00,0.2459,0.2557,0.2366,0.2465,4673730,46737300,11522492.316,1,1759190399999,,,,
2025-09-30 00:00:00+00:00,0.2464,0.2638,0.2408,0.2522,8848040,88480400,22425938.872,1,1759276799999,,,,
2025-10-01 00:00:00+00:00,0.2522,0.2878,0.2495,0.281,9260293,92602930,25353773.525,1,1759363199999,,,,
2025-10-02 00:00:00+00:00,0.2811,0.2918,0.2755,0.2781,4900290,49002900,13878114.86,1,1759449599999,,,,
2025-10-03 00:00:00+00:00,0.2781,0.2886,0.273,0.2812,3322529,33225290,9301360.313,1,1759535999999,,,,
2025-10-04 00:00:00+00:00,0.2812,0.2839,0.2704,0.278,2005638,20056380,5545145.177,1,1759622399999,,,,
2025-10-05 00:00:00+00:00,0.2781,0.299,0.2728,0.2746,5453781,54537810,15582551.344,1,1759708799999,,,,
2025-10-06 00:00:00+00:00,0.2747,0.2906,0.2722,0.2812,3332787,33327870,9375960.128,1,1759795199999,,,,
2025-10-07 00:00:00+00:00,0.2811,0.3098,0.2801,0.297,9184618,91846180,27324877.396,1,1759881599999,,,,
2025-10-08 00:00:00+00:00,0.297,0.3072,0.2775,0.2842,6929440,69294400,20258771.093,1,1759967999999,,,,
2025-10-09 00:00:00+00:00,0.2843,0.2844,0.2587,0.2729,4221039,42210390,11394196.969,1,1760054399999,,,,
2025-10-10 00:00:00+00:00,0.2729,0.2753,0.0764,0.1766,18059386,180593860,34478731.306,1,1760140799999,,,,
2025-10-11 00:00:00+00:00,0.1767,0.1965,0.1572,0.1781,14500831,145008310,25580599.827,1,1760227199999,,,,
2025-10-12 00:00:00+00:00,0.1781,0.2043,0.1723,0.1964,7190808,71908080,13490138.976,1,1760313599999,,,,
2025-10-13 00:00:00+00:00,0.1964,0.2179,0.1904,0.2119,4913858,49138580,9876824.135,1,1760399999999,,,,
2025-10-14 00:00:00+00:00,0.212,0.2136,0.1875,0.2002,5555740,55557400,11019716.302,1,1760486399999,,,,
2025-10-15 00:00:00+00:00,0.2003,0.2053,0.1845,0.1882,4013418,40134180,7785684.357,1,1760572799999,,,,
2025-10-16 00:00:00+00:00,0.1883,0.1918,0.1771,0.1807,4643043,46430430,8592034.932,1,1760659199999,,,,
2025-10-17 00:00:00+00:00,0.1808,0.1834,0.1612,0.1713,4456870,44568700,7608805.72,1,1760745599999,,,,
2025-10-18 00:00:00+00:00,0.1712,0.1743,0.167,0.1726,1949595,19495950,3338830.878,1,1760831999999,,,,
2025-10-19 00:00:00+00:00,0.1726,0.181,0.1696,0.1761,2599423,25994230,4567554.02,1,1760918399999,,,,
2025-10-20 00:00:00+00:00,0.176,0.1823,0.1715,0.1737,2195036,21950360,3871157.997,1,1761004799999,,,,
2025-10-21 00:00:00+00:00,0.1738,0.1825,0.1639,0.1649,3476351,34763510,5982989.176,1,1761091199999,,,,
2025-10-22 00:00:00+00:00,0.1649,0.1693,0.1539,0.1604,4983678,49836780,8136942.724,1,1761177599999,,,,
2025-10-23 00:00:00+00:00,0.1605,0.1672,0.1602,0.1634,2198871,21988710,3583122.126,1,1761263999999,,,,
2025-10-24 00:00:00+00:00,0.1634,0.1694,0.162,0.1658,2168221,21682210,3581153.991,1,1761350399999,,,,
2025-10-25 00:00:00+00:00,0.1657,0.1673,0.1629,0.1667,1381954,13819540,2283499.662,1,1761436799999,,,,
2025-10-26 00:00:00+00:00,0.1667,0.1764,0.1637,0.1747,2756572,27565720,4687760.858,1,1761523199999,,,,
2025-10-27 00:00:00+00:00,0.1748,0.1804,0.1655,0.167,2361921,23619210,4083931.553,1,1761609599999,,,,
2025-10-28 00:00:00+00:00,0.167,0.1717,0.1582,0.1612,2685137,26851370,4447905.181,1,1761695999999,,,,
2025-10-29 00:00:00+00:00,0.1613,0.1642,0.1535,0.1592,4340582,43405820,6891678.563,1,1761782399999,,,,
2025-10-30 00:00:00+00:00,0.1592,0.161,0.1387,0.1437,5396927,53969270,7931759.94,1,1761868799999,,,,
2025-10-31 00:00:00+00:00,0.1436,0.146,0.1363,0.1375,4066765,40667650,5724545.206,1,1761955199999,,,,
2025-11-01 00:00:00+00:00,0.1375,0.1439,0.1344,0.1427,2617207,26172070,3676971.807,1,1762041599999,,,,
2025-11-02 00:00:00+00:00,0.1427,0.1436,0.1334,0.1403,3317091,33170910,4606959.117,1,1762127999999,,,,
2025-11-03 00:00:00+00:00,0.1404,0.141,0.1144,0.122,9332310,93323100,11647254.232,1,1762214399999,,,,
2025-11-04 00:00:00+00:00,0.122,0.1261,0.1098,0.1249,9178339,91783390,10794992.418,1,1762300799999,,,,
2025-11-05 00:00:00+00:00,0.1249,0.1278,0.1188,0.1252,3571269,35712690,4392355.98,1,1762387199999,,,,
2025-11-06 00:00:00+00:00,0.1252,0.1283,0.118,0.124,3581595,35815950,4422109.687,1,1762473599999,,,,
2025-11-07 00:00:00+00:00,0.124,0.167,0.1226,0.1661,8763853,87638530,12645328.059,1,1762559999999,,,,
2025-11-08 00:00:00+00:00,0.1661,0.1938,0.1576,0.1666,36012315,360123150,62829367.583,1,1762646399999,,,,
2025-11-09 00:00:00+00:00,0.1665,0.1676,0.1518,0.1538,9979003,99790030,15816346.458,1,1762732799999,,,,
2025-11-10 00:00:00+00:00,0.1538,0.1615,0.1481,0.1515,8116236,81162360,12383615.285,1,1762819199999,,,,
2025-11-11 00:00:00+00:00,0.1516,0.1534,0.1394,0.1401,4894642,48946420,7134773.679,1,1762905599999,,,,
2025-11-12 00:00:00+00:00,0.1402,0.1591,0.1391,0.1415,8648630,86486300,12793760.384,1,1762991999999,,,,
2025-11-13 00:00:00+00:00,0.1414,0.148,0.1309,0.1368,5803495,58034950,8191447.131,1,1763078399999,,,,
2025-11-14 00:00:00+00:00,0.1368,0.1376,0.128,0.1312,4676659,46766590,6251480.504,1,1763164799999,,,,
2025-11-15 00:00:00+00:00,0.1311,0.136,0.1303,0.1321,2915973,29159730,3894846.613,1,1763251199999,,,,
2025-11-16 00:00:00+00:00,0.132,0.1337,0.1223,0.1257,4088572,40885720,5232926.713,1,1763337599999,,,,
2025-11-17 00:00:00+00:00,0.1257,0.1288,0.1163,0.1198,5737028,57370280,7057170.087,1,1763423999999,,,,
2025-11-18 00:00:00+00:00,0.1198,0.1264,0.1175,0.1237,3433416,34334160,4191672.642,1,1763510399999,,,,
2025-11-19 00:00:00+00:00,0.1236,0.1242,0.1146,0.1207,3792931,37929310,4539528.411,1,1763596799999,,,,
2025-11-20 00:00:00+00:00,0.1208,0.1234,0.1121,0.1142,3761233,37612330,4456703.981,1,1763683199999,,,,
2025-11-21 00:00:00+00:00,0.1142,0.117,0.1,0.1054,8295969,82959690,8813396.236,1,1763769599999,,,,
2025-11-22 00:00:00+00:00,0.1054,0.1058,0.1015,0.1042,2466577,24665770,2558349.323,1,1763855999999,,,,
2025-11-23 00:00:00+00:00,0.1042,0.1083,0.1036,0.1039,1952966,19529660,2062986.466,1,1763942399999,,,,
2025-11-24 00:00:00+00:00,0.1039,0.1146,0.1024,0.1112,4000721,40007210,4293876.516,1,1764028799999,,,,
2025-11-25 00:00:00+00:00,0.1112,0.1139,0.1074,0.1126,2250393,22503930,2483565.103,1,1764115199999,,,,
2025-11-26 00:00:00+00:00,0.1126,0.1133,0.1073,0.1119,1856462,18564620,2055531.315,1,1764201599999,,,,
2025-11-27 00:00:00+00:00,0.1119,0.1142,0.1105,0.1115,1301974,13019740,1458609.1,1,1764287999999,,,,
2025-11-28 00:00:00+00:00,0.1115,0.113,0.1079,0.1105,2530839,25308390,2800559.718,1,1764374399999,,,,
2025-11-29 00:00:00+00:00,0.1105,0.1114,0.1061,0.1074,1126938,11269380,1226834.364,1,1764460799999,,,,
2025-11-30 00:00:00+00:00,0.1075,0.1087,0.1043,0.1045,1050998,10509980,1125898.352,1,1764547199999,,,,
2025-12-01 00:00:00+00:00,0.1046,0.1049,0.0911,0.0951,4209085,42090850,4035820.087,1,1764633599999,,,,
2025-12-02 00:00:00+00:00,0.0951,0.1051,0.0927,0.103,2471964,24719640,2429849.649,1,1764719999999,,,,
2025-12-03 00:00:00+00:00,0.1031,0.106,0.1007,0.105,1621421,16214210,1680139.998,1,1764806399999,,,,
2025-12-04 00:00:00+00:00,0.105,0.1062,0.0993,0.101,1170164,11701640,1202016.084,1,1764892799999,,,,
2025-12-05 00:00:00+00:00,0.101,0.1019,0.0937,0.0956,1745567,17455670,1709367.299,1,1764979199999,,,,
2025-12-06 00:00:00+00:00,0.0955,0.0967,0.0945,0.0954,1063217,10632170,1014428.815,1,1765065599999,,,,
2025-12-07 00:00:00+00:00,0.0954,0.0963,0.0902,0.0918,1625837,16258370,1513309.654,1,1765151999999,,,,
2025-12-08 00:00:00+00:00,0.0918,0.0977,0.0913,0.096,1303355,13033550,1247213.728,1,1765238399999,,,,
2025-12-09 00:00:00+00:00,0.096,0.1019,0.0927,0.0984,1817763,18177630,1762369.79,1,1765324799999,,,,
2025-12-10 00:00:00+00:00,0.0985,0.1009,0.0946,0.095,1594130,15941300,1546384.693,1,1765411199999,,,,
2025-12-11 00:00:00+00:00,0.095,0.0965,0.0902,0.0942,1989005,19890050,1841840.899,1,1765497599999,,,,
2025-12-12 00:00:00+00:00,0.0942,0.0976,0.0869,0.0906,3085467,30854670,2824871.361,1,1765583999999,,,,
