ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-09-14,0.975,0.975,0.92,0.931,11165.61000000,1757894399999,10675.69828000,69,484.69000000,461.23079000,0
2025-09-15,0.922,0.931,0.864,0.876,2316.85000000,1757980799999,2055.24402000,67,762.32000000,665.63697000,0
2025-09-16,0.884,0.967,0.874,0.967,23416.83000000,1758067199999,21419.86911000,79,5368.71000000,5000.91753000,0
2025-09-17,0.963,0.968,0.908,0.96,14524.41000000,1758153599999,13746.93180000,80,12247.40000000,11620.37639000,0
2025-09-18,0.962,0.972,0.939,0.944,7743.84000000,1758239999999,7408.05341000,46,3929.39000000,3749.87781000,0
2025-09-19,0.959,0.99,0.89,0.89,4896.64000000,1758326399999,4575.63049000,50,2039.44000000,1985.47914000,0
2025-09-20,0.889,0.912,0.886,0.896,597.32000000,1758412799999,532.62931000,18,185.43000000,166.97081000,0
2025-09-21,0.899,0.912,0.875,0.875,770.05000000,1758499199999,683.39872000,18,96.75000000,87.43354000,0
2025-09-22,0.874,0.874,0.78,0.793,12786.21000000,1758585599999,10510.02249000,84,1796.18000000,1428.12799000,0
2025-09-23,0.775,0.806,0.775,0.78,780.39000000,1758671999999,616.83159000,24,385.07000000,307.02532000,0
2025-09-24,0.775,0.804,0.764,0.784,1041.01000000,1758758399999,819.04218000,37,380.27000000,302.03874000,0
2025-09-25,0.784,0.784,0.722,0.722,3167.48000000,1758844799999,2381.75275000,63,733.29000000,564.19279000,0
2025-09-26,0.735,0.759,0.721,0.752,3933.65000000,1758931199999,2898.92342000,21,1059.07000000,786.61636000,0
2025-09-27,0.74,0.745,0.74,0.74,159.64000000,1759017599999,118.20334000,5,155.79000000,115.35434000,0
2025-09-28,0.732,0.745,0.71,0.745,984.42000000,1759103999999,713.69628000,30,168.78000000,123.55983000,0
2025-09-29,0.741,0.741,0.7,0.732,2232.39000000,1759190399999,1607.80436000,48,1162.17000000,844.50916000,0
2025-09-30,0.728,0.728,0.695,0.722,3031.25000000,1759276799999,2176.23950000,28,1886.88000000,1367.28243000,0
2025-10-01,0.728,0.765,0.723,0.76,5194.16000000,1759363199999,3814.53041000,34,1779.59000000,1317.66727000,0
2025-10-02,0.765,0.797,0.759,0.787,4677.41000000,1759449599999,3638.06966000,65,3451.04000000,2681.17520000,0
2025-10-03,0.783,0.799,0.759,0.787,10619.02000000,1759535999999,8234.89568000,102,4862.87000000,3801.13128000,0
2025-10-04,0.791,0.799,0.743,0.755,2872.27000000,1759622399999,2219.03202000,81,1028.16000000,801.08688000,0
2025-10-05,0.751,0.807,0.747,0.763,7317.74000000,1759708799999,5731.24944000,119,5240.56000000,4116.07761000,0
2025-10-06,0.758,0.813,0.756,0.803,6431.05000000,1759795199999,5081.29823000,75,4972.80000000,3960.84222000,0
2025-10-07,0.804,0.804,0.736,0.736,6007.33000000,1759881599999,4627.04325000,89,2169.28000000,1695.92299000,0
2025-10-08,0.744,0.749,0.722,0.741,9598.51000000,1759967999999,7019.95433000,85,5531.48000000,4049.96277000,0
2025-10-09,0.729,0.729,0.699,0.703,2253.81000000,1760054399999,1607.23432000,32,0.00000000,0.00000000,0
2025-10-10,0.719,0.737,0.26,0.527,11622.64000000,1760140799999,6761.29282000,200,3748.31000000,2015.31372000,0
2025-10-11,0.477,0.66,0.46,0.482,19049.16000000,1760227199999,9686.22612000,123,3427.12000000,1851.08742000,0
2025-10-12,0.477,0.6,0.469,0.554,18511.64000000,1760313599999,9868.57706000,140,8916.70000000,4794.27604000,0
2025-10-13,0.548,0.618,0.537,0.604,112341.47000000,1760399999999,63416.90077000,101,77970.38000000,43958.64278000,0
2025-10-14,0.602,0.602,0.528,0.571,55492.54000000,1760486399999,31542.31867000,71,27931.49000000,15599.34101000,0
2025-10-15,0.582,0.596,0.539,0.539,32607.39000000,1760572799999,18819.88721000,52,14987.57000000,8719.72044000,0
2025-10-16,0.542,0.546,0.514,0.522,10407.14000000,1760659199999,5499.91340000,117,647.66000000,339.69759000,0
2025-10-17,0.535,0.535,0.475,0.508,4285.03000000,1760745599999,2073.03702000,35,1685.26000000,811.05722000,0
2025-10-18,0.51,0.52,0.51,0.518,24347.96000000,1760831999999,12559.09756000,45,4623.69000000,2383.18023000,0
2025-10-19,0.512,0.541,0.512,0.538,433.73000000,1760918399999,226.22452000,9,98.22000000,52.66227000,0
2025-10-20,0.527,0.555,0.519,0.546,9843.14000000,1761004799999,5423.39444000,17,255.23000000,141.03153000,0
2025-10-21,0.539,0.582,0.527,0.527,10600.60000000,1761091199999,5690.59489000,69,3309.78000000,1816.66520000,0
2025-10-22,0.518,0.542,0.479,0.479,8709.62000000,1761177599999,4280.28683000,28,76.32000000,40.04548000,0
2025-10-23,0.499,0.526,0.499,0.526,159.76000000,1761263999999,80.79835000,5,99.80000000,50.21875000,0
2025-10-24,0.529,0.547,0.528,0.531,13662.54000000,1761350399999,7262.22174000,16,4822.36000000,2588.90260000,0
2025-10-25,0.536,0.554,0.534,0.549,14878.57000000,1761436799999,8202.73489000,31,3383.92000000,1874.06902000,0
2025-10-26,0.542,0.57,0.542,0.57,21445.98000000,1761523199999,11846.34965000,39,1709.15000000,954.27620000,0
2025-10-27,0.572,0.576,0.549,0.549,36091.52000000,1761609599999,20261.58165000,69,22717.08000000,12761.29353000,0
2025-10-28,0.547,0.557,0.527,0.536,37119.14000000,1761695999999,20550.57664000,52,13773.55000000,7613.56363000,0
2025-10-29,0.533,0.572,0.522,0.543,5492.25000000,1761782399999,2997.61604000,57,1483.18000000,817.22243000,0
2025-10-30,0.545,0.545,0.471,0.492,29276.59000000,1761868799999,14491.56155000,112,1538.50000000,773.37959000,0
2025-10-31,0.498,0.514,0.492,0.513,5121.28000000,1761955199999,2597.22954000,33,3762.03000000,1908.53112000,0
2025-11-01,0.513,0.538,0.513,0.535,13047.06000000,1762041599999,6835.73939000,34,8437.88000000,4431.41463000,0
2025-11-02,0.53,0.546,0.522,0.546,6586.05000000,1762127999999,3522.45497000,28,3899.39000000,2100.15274000,0
2025-11-03,0.54,0.54,0.442,0.442,26973.65000000,1762214399999,13225.10139000,124,4504.64000000,2043.37391000,0
2025-11-04,0.447,0.447,0.377,0.402,14020.61000000,1762300799999,5832.57761000,36,5836.79000000,2372.31647000,0
2025-11-05,0.393,0.433,0.393,0.433,11970.47000000,1762387199999,5049.39869000,35,7131.76000000,3012.97805000,0
2025-11-06,0.437,0.437,0.418,0.429,5589.95000000,1762473599999,2393.49744000,37,4046.33000000,1736.06642000,0
2025-11-07,0.44,0.493,0.425,0.492,78645.33000000,1762559999999,35040.68201000,104,42277.34000000,19063.31387000,0
2025-11-08,0.493,0.498,0.463,0.475,10221.52000000,1762646399999,5034.41702000,33,5372.53000000,2643.97414000,0
2025-11-09,0.463,0.49,0.463,0.49,2133.05000000,1762732799999,1031.16015000,9,1610.63000000,784.11699000,0
2025-11-10,0.479,0.509,0.479,0.498,24324.57000000,1762819199999,11907.12104000,45,11946.69000000,5867.13462000,0
2025-11-11,0.491,0.511,0.461,0.461,63516.01000000,1762905599999,31170.49188000,64,6929.22000000,3438.96081000,0
2025-11-12,0.462,0.49,0.45,0.45,13824.50000000,1762991999999,6353.31958000,30,4137.40000000,1931.75647000,0
2025-11-13,0.455,0.474,0.423,0.423,40692.89000000,1763078399999,18895.34606000,52,17943.29000000,8340.60073000,0
2025-11-14,0.437,0.442,0.42,0.424,9653.46000000,1763164799999,4131.07762000,27,3763.48000000,1615.49030000,0
2025-11-15,0.413,0.431,0.413,0.423,2105.76000000,1763251199999,886.26145000,10,762.17000000,326.22871000,0
